sample	sample_type.samples
TCGA-B0-5110-01A	6
TCGA-A6-3810-11A	8
TCGA-42-2591-01A	3
TCGA-A3-3347-01A	6
TCGA-BH-A0HL-01A	1
TCGA-BC-A10Q-01A	17
TCGA-IE-A4EI-01A	13
TCGA-51-4080-01A	4
TCGA-12-1602-01A	10
TCGA-38-4627-01A	0
TCGA-44-3396-11A	8
TCGA-A6-5662-11A	8
TCGA-CZ-4862-11A	8
TCGA-LN-A7HV-01A	28
TCGA-64-1680-01A	0
TCGA-02-0451-01A	10
TCGA-E9-A1N4-11A	8
TCGA-S9-A7J1-01A	20
TCGA-EL-A3GX-01A	14
TCGA-MT-A7BN-01A	5
TCGA-BR-8297-01A	21
TCGA-FG-5963-01A	20
TCGA-IE-A3OV-01A	13
TCGA-ET-A3BO-01A	14
TCGA-M9-A5M8-01A	28
TCGA-DD-AAEE-01A	17
TCGA-CJ-4876-01A	6
TCGA-34-2600-01A	4
TCGA-QS-A8F1-01A	2
TCGA-EJ-7793-11A	8
TCGA-WB-A818-01A	22
TCGA-2A-AAYO-01A	9
TCGA-60-2703-01A	4
TCGA-DQ-5629-01A	5
TCGA-BQ-5880-01A	15
TCGA-O2-A52N-01A	4
TCGA-CJ-4893-01A	6
TCGA-B0-5705-01A	6
TCGA-VD-AA8P-01A	16
TCGA-61-2104-01A	3
TCGA-GD-A3OQ-01A	12
TCGA-A8-A093-01A	1
TCGA-NC-A5HR-01A	4
TCGA-4W-AA9R-01A	10
TCGA-D3-A2JK-06A	18
TCGA-EB-A553-01A	18
TCGA-32-1978-01A	10
TCGA-FG-A4MW-01A	20
TCGA-A8-A090-01A	1
TCGA-50-6673-11A	8
TCGA-YL-A8HJ-01A	9
TCGA-06-2562-01A	10
TCGA-BP-4962-01A	6
TCGA-25-1313-01A	3
TCGA-AA-A01Q-01A	24
TCGA-61-2008-02A	3
TCGA-85-7697-01A	4
TCGA-BH-A0BL-11A	8
TCGA-CD-5803-01A	21
TCGA-DD-AACQ-01A	17
TCGA-98-8021-01A	4
TCGA-B0-4833-01A	6
TCGA-D8-A1X8-01A	1
TCGA-25-1878-01A	3
TCGA-C4-A0F1-01A	12
TCGA-08-0392-11A	8
TCGA-64-5815-01A	0
TCGA-AA-3977-01A	24
TCGA-LP-A4AW-01A	7
TCGA-BQ-5876-01A	15
TCGA-B6-A0IP-01A	1
TCGA-B0-5102-11A	8
TCGA-29-1770-02A	3
TCGA-BR-7722-01A	21
TCGA-5R-AAAM-01A	17
TCGA-AB-2818-11B	8
TCGA-AB-2818-11C	8
TCGA-AB-2818-11A	8
TCGA-SQ-A6I4-01A	22
TCGA-AB-2937-11A	8
TCGA-G3-A3CH-01A	17
TCGA-FD-A6TI-01A	12
TCGA-AA-3502-01A	24
TCGA-EJ-8474-01A	9
TCGA-D1-A0ZS-01A	2
TCGA-25-2400-01A	3
TCGA-ZG-A8QW-01A	9
TCGA-49-4512-01A	0
TCGA-NA-A4QV-01A	29
TCGA-A3-3351-01A	6
TCGA-78-7154-01A	0
TCGA-EJ-7788-01A	9
TCGA-06-0133-01A	10
TCGA-BR-8368-01A	21
TCGA-CV-A6JD-01A	5
TCGA-85-8350-01A	4
TCGA-Q1-A5R3-01A	7
TCGA-CV-6003-01A	5
TCGA-DS-A0VK-01A	7
TCGA-BP-4158-01A	6
TCGA-A8-A09T-01A	1
TCGA-63-6202-01A	4
TCGA-CZ-5464-01A	6
TCGA-EL-A4JV-01A	14
TCGA-BH-A0B4-01A	1
TCGA-A7-A0CJ-01A	1
TCGA-63-7020-01A	4
TCGA-44-2655-01A	0
TCGA-2F-A9KP-01A	12
TCGA-BP-4781-11A	8
TCGA-US-A77E-11A	8
TCGA-10-0927-01A	3
TCGA-VN-A943-01A	9
TCGA-D8-A27L-01A	1
TCGA-59-2351-01A	3
TCGA-CV-6940-01A	5
TCGA-BP-4983-01A	6
TCGA-HZ-A9TJ-06A	11
TCGA-55-8208-01A	0
TCGA-KL-8324-11A	8
TCGA-24-1104-01A	3
TCGA-CV-6943-01A	5
TCGA-BP-4760-01A	6
TCGA-29-1783-01A	3
TCGA-DJ-A13M-01A	14
TCGA-29-2428-01A	3
TCGA-HE-A5NF-01A	15
TCGA-13-0802-01A	3
TCGA-BB-8601-01A	5
TCGA-DX-AB35-01A	13
TCGA-EJ-A65B-01A	9
TCGA-A7-A6VY-01A	1
TCGA-EO-A22S-01A	2
TCGA-A3-A6NJ-11A	8
TCGA-K1-A3PO-11A	8
TCGA-FD-A43U-01A	12
TCGA-08-0244-01A	10
TCGA-AB-2898-11A	8
TCGA-B6-A0IE-01A	1
TCGA-61-2611-02A	3
TCGA-AB-3009-03A	26
TCGA-V4-A9EH-01A	16
TCGA-95-A4VK-01A	0
TCGA-E9-A24A-01A	1
TCGA-HE-7129-01A	15
TCGA-BJ-A0ZH-01A	14
TCGA-DX-A8BH-01A	13
TCGA-DK-AA6M-01A	12
TCGA-B0-5402-11A	8
TCGA-G9-6494-01A	9
TCGA-17-Z015-01A	0
TCGA-CJ-4643-01A	6
TCGA-66-2770-01A	4
TCGA-ZN-A9VU-01A	31
TCGA-CN-5364-01A	5
TCGA-67-6215-01A	0
TCGA-B0-4827-01A	6
TCGA-29-1699-01A	3
TCGA-BH-A0DI-11A	8
TCGA-CR-6467-01A	5
TCGA-SR-A6MS-01A	22
TCGA-VS-A954-01A	7
TCGA-2G-AALT-01A	23
TCGA-AB-2938-11A	8
TCGA-EB-A41B-01A	18
TCGA-L5-A8NF-01A	28
TCGA-17-Z021-01A	0
TCGA-BB-4217-01A	5
TCGA-EB-A4IQ-01A	18
TCGA-AR-A1AS-01A	1
TCGA-L5-A8NI-01A	28
TCGA-J4-A67N-01A	9
TCGA-EJ-5525-01A	9
TCGA-CR-7385-01A	5
TCGA-DD-A1EF-01A	17
TCGA-CQ-7072-01A	5
TCGA-DX-A2J1-01A	13
TCGA-12-0703-01A	10
TCGA-B1-A47N-01A	15
TCGA-AB-2927-03A	26
TCGA-HC-7078-01A	9
TCGA-A3-3308-01A	6
TCGA-US-A77J-11A	8
TCGA-DD-A39W-11A	8
TCGA-B0-5080-01A	6
TCGA-D9-A4Z5-01A	18
TCGA-D1-A1O0-01A	2
TCGA-BD-A2L6-01A	17
TCGA-XE-AAOD-01A	23
TCGA-CZ-5451-11A	8
TCGA-56-A4ZK-01A	4
TCGA-B0-4845-11A	8
TCGA-17-Z057-01A	0
TCGA-EM-A2CM-01A	14
TCGA-61-2000-01A	3
TCGA-C8-A12K-01A	1
TCGA-2G-AAHT-01A	23
TCGA-WK-A8Y0-01A	13
TCGA-2A-A8W3-01A	9
TCGA-A6-2681-01A	24
TCGA-18-3408-01A	4
TCGA-G4-6297-11A	8
TCGA-EJ-5512-01A	9
TCGA-HT-8114-01A	20
TCGA-HD-A6I0-11A	8
TCGA-CQ-7063-01A	5
TCGA-BP-5198-11A	8
TCGA-FS-A4F8-06A	18
TCGA-AG-A036-01A	30
TCGA-FG-A711-01A	20
TCGA-Q2-A5QZ-01A	15
TCGA-US-A774-01A	11
TCGA-N5-A4RF-01A	29
TCGA-FG-6691-01A	20
TCGA-55-1595-01A	0
TCGA-QQ-A5VC-01A	13
TCGA-BJ-A45K-11A	8
TCGA-J4-A67M-01A	9
TCGA-ZP-A9D2-01A	17
TCGA-AC-A2QI-01A	1
TCGA-55-1596-01A	0
TCGA-DJ-A1QL-01A	14
TCGA-EK-A2PM-01A	7
TCGA-44-2664-01A	0
TCGA-B0-4710-11A	8
TCGA-AA-3861-01A	24
TCGA-AC-A6IX-01A	1
TCGA-HT-7474-01A	20
TCGA-EB-A3XE-01A	18
TCGA-BP-5174-11A	8
TCGA-L5-A4OO-01A	28
TCGA-78-7147-01A	0
TCGA-ET-A2N0-01A	14
TCGA-CX-7085-01A	5
TCGA-EL-A3TB-01A	14
TCGA-23-1117-01A	3
TCGA-CQ-7071-01A	5
TCGA-AN-A0FK-01A	1
TCGA-55-8513-01A	0
TCGA-WE-A8ZR-06A	18
TCGA-6D-AA2E-01A	6
TCGA-DJ-A13U-01A	14
TCGA-41-2571-01A	10
TCGA-C8-A27B-01A	1
TCGA-BP-5006-11A	8
TCGA-EJ-A7NM-01A	9
TCGA-J4-A67S-01A	9
TCGA-WC-A885-01A	16
TCGA-E2-A15S-01A	1
TCGA-OL-A5RX-01A	1
TCGA-UY-A78M-01A	12
TCGA-X7-A8DJ-01A	25
TCGA-AB-2996-03A	26
TCGA-XF-A9SU-01A	12
TCGA-CZ-5468-01A	6
TCGA-D3-A3C1-06A	18
TCGA-17-Z052-11A	8
TCGA-AG-3878-01A	30
TCGA-B8-5546-01A	6
TCGA-BF-A1PU-01A	18
TCGA-BH-A0H5-01A	1
TCGA-A2-A1G6-01A	1
TCGA-MF-A522-01A	4
TCGA-KK-A8IG-01A	9
TCGA-L5-A8NM-11A	8
TCGA-QS-A5YR-01A	2
TCGA-77-6844-11A	8
TCGA-H8-A6C1-01A	11
TCGA-DX-A240-01A	13
TCGA-EY-A1GX-01A	2
TCGA-VN-A88M-01A	9
TCGA-13-0726-01A	3
TCGA-A4-A6HP-01A	15
TCGA-GU-A764-01A	12
TCGA-A3-3343-01A	6
TCGA-A7-A4SD-01A	1
TCGA-BH-A0BM-11A	8
TCGA-AP-A0LN-01A	2
TCGA-DD-A4NE-11A	8
TCGA-13-1501-01A	3
TCGA-98-8022-01A	4
TCGA-24-1847-01A	3
TCGA-EO-A3AZ-01A	2
TCGA-55-6972-11A	8
TCGA-78-7155-01A	0
TCGA-ZF-A9RE-01A	12
TCGA-A6-6142-01A	24
TCGA-RD-A7BT-01A	21
TCGA-KN-8436-01A	27
TCGA-OR-A5K3-01A	19
TCGA-30-1862-01A	3
TCGA-5P-A9KC-01A	15
TCGA-KK-A8I4-01A	9
TCGA-BJ-A45C-01A	14
TCGA-AA-A00E-01A	24
TCGA-EL-A3ZN-11A	8
TCGA-55-7728-11A	8
TCGA-DX-A1L2-01A	13
TCGA-BH-A0HW-01A	1
TCGA-63-5128-01A	4
TCGA-BH-A8G0-01A	1
TCGA-56-A5DS-01A	4
TCGA-NP-A5H7-01A	27
TCGA-EO-A3AY-01A	2
TCGA-AA-3495-01A	24
TCGA-CV-6952-11A	8
TCGA-RY-A843-01A	20
TCGA-A8-A06T-01A	1
TCGA-B0-4718-01A	6
TCGA-78-8660-01A	0
TCGA-DD-AADL-01A	17
TCGA-61-1916-11A	8
TCGA-KK-A8ID-01A	9
TCGA-WA-A7GZ-01A	5
TCGA-D3-A8GS-06A	18
TCGA-DX-A7EU-01A	13
TCGA-63-A5MR-01A	4
TCGA-LD-A7W6-01A	1
TCGA-AN-A0XP-01A	1
TCGA-EJ-A7NG-01A	9
TCGA-EJ-5524-01A	9
TCGA-OR-A5K9-01A	19
TCGA-EB-A4XL-01A	18
TCGA-66-2790-01A	4
TCGA-AN-A0XN-01A	1
TCGA-BR-A4J9-01A	21
TCGA-XF-A9SH-01A	12
TCGA-G8-6906-01A	32
TCGA-QR-A6H1-01A	22
TCGA-DU-A7TC-01A	20
TCGA-12-1088-01A	10
TCGA-85-8048-01A	4
TCGA-55-8299-01A	0
TCGA-77-8146-01A	4
TCGA-2Y-A9GV-01A	17
TCGA-EW-A1P5-01A	1
TCGA-ZQ-A9CR-01A	21
TCGA-50-6592-11A	8
TCGA-55-7727-11A	8
TCGA-33-AAS8-11A	8
TCGA-2G-AAHC-01A	23
TCGA-DX-A1KX-01A	13
TCGA-A8-A0A1-01A	1
TCGA-4K-AAAL-01A	23
TCGA-BH-A0BC-11A	8
TCGA-BQ-5882-01A	15
TCGA-CG-5717-01A	21
TCGA-DJ-A2PQ-01A	14
TCGA-UW-A72Q-01A	27
TCGA-OR-A5JI-01A	19
TCGA-IN-A7NU-01A	21
TCGA-49-6743-11A	8
TCGA-4A-A93Y-01A	15
TCGA-OR-A5J9-01A	19
TCGA-B0-5699-01A	6
TCGA-BP-4354-01A	6
TCGA-13-0887-01A	3
TCGA-KS-A4ID-11A	8
TCGA-AB-2849-03B	26
TCGA-4Z-AA81-01A	12
TCGA-B0-5081-01A	6
TCGA-YS-A95B-01A	31
TCGA-XY-A8S3-01B	23
TCGA-GU-A767-01A	12
TCGA-A7-A5ZV-01A	1
TCGA-BQ-7060-11A	8
TCGA-ET-A39N-01A	14
TCGA-A5-A1OF-01A	2
TCGA-CG-4442-01A	21
TCGA-FJ-A3Z9-01A	12
TCGA-C5-A1BK-01B	7
TCGA-D7-8570-01A	21
TCGA-33-6738-01A	4
TCGA-CJ-4894-11A	8
TCGA-EE-A3JA-06A	18
TCGA-YT-A95E-01A	25
TCGA-VD-A8KG-01A	16
TCGA-CH-5737-01A	9
TCGA-17-Z012-01A	0
TCGA-BH-A0B7-01A	1
TCGA-05-4395-01A	0
TCGA-VR-A8Q7-01A	28
TCGA-FS-A1Z7-06A	18
TCGA-XV-AB01-06A	18
TCGA-BT-A42C-01A	12
TCGA-AX-A1CC-01A	2
TCGA-EO-A22T-01A	2
TCGA-E2-A14T-01A	1
TCGA-DU-A5TT-01A	20
TCGA-28-1752-01A	10
TCGA-AG-3592-01A	30
TCGA-2G-AAGF-01A	23
TCGA-AB-2837-03A	26
TCGA-BP-4973-01A	6
TCGA-DD-A39Y-01A	17
TCGA-AB-2941-11A	8
TCGA-90-7766-01A	4
TCGA-AG-3732-01A	30
TCGA-61-1919-11A	8
TCGA-ED-A627-01A	17
TCGA-KF-A41W-11A	8
TCGA-ZF-AA58-01A	12
TCGA-E2-A1II-01A	1
TCGA-LI-A9QH-01A	13
TCGA-IP-7968-01A	21
TCGA-DX-AB2G-01A	13
TCGA-19-5950-01A	10
TCGA-CJ-4636-11A	8
TCGA-VQ-A923-01A	21
TCGA-AQ-A54O-01A	1
TCGA-EM-A3AI-01A	14
TCGA-M8-A5N4-01A	11
TCGA-L9-A5IP-01A	0
TCGA-IS-A3K6-01A	13
TCGA-AR-A2LL-01A	1
TCGA-E9-A54Y-01A	1
TCGA-DS-A1O9-01A	7
TCGA-NI-A8LF-01A	17
TCGA-2H-A9GO-01A	28
TCGA-HT-7873-01B	20
TCGA-55-7283-01A	0
TCGA-F7-A50J-01A	5
TCGA-EB-A5VU-01A	18
TCGA-X7-A8D9-01A	25
TCGA-D1-A16J-01A	2
TCGA-04-1348-11A	8
TCGA-AG-3887-01A	30
TCGA-DD-A3A5-11A	8
TCGA-C8-A12V-01A	1
TCGA-5K-AAAP-01A	25
TCGA-D3-A51E-06A	18
TCGA-AG-3902-01A	30
TCGA-77-7140-01A	4
TCGA-CZ-5470-01A	6
TCGA-DH-A66F-01A	20
TCGA-D6-6824-01A	5
TCGA-FP-7829-11A	8
TCGA-SU-A7E7-01A	9
TCGA-13-0910-01A	3
TCGA-AK-3451-01A	6
TCGA-60-2721-01A	4
TCGA-OR-A5KP-01A	19
TCGA-AB-2814-11D	8
TCGA-CH-5740-01A	9
TCGA-SX-A7SR-01A	15
TCGA-AB-2814-11C	8
TCGA-T9-A92H-01A	24
TCGA-FI-A2D5-01A	2
TCGA-FZ-5923-01A	11
TCGA-EE-A2ME-06A	18
TCGA-AZ-6605-11A	8
TCGA-09-2056-01B	3
TCGA-77-7337-01A	4
TCGA-RC-A6M4-01A	17
TCGA-K4-A3WV-11A	8
TCGA-CE-A13K-01A	14
TCGA-77-7335-11A	8
TCGA-AB-2920-11A	8
TCGA-EL-A3H7-01A	14
TCGA-85-8277-01A	4
TCGA-AG-A00C-01A	30
TCGA-HU-8610-01A	21
TCGA-DI-A1C3-01A	2
TCGA-AR-A24R-01A	1
TCGA-CM-6679-01A	24
TCGA-FI-A2D6-01A	2
TCGA-29-1784-01A	3
TCGA-CV-6961-11A	8
TCGA-BJ-A3PU-01A	14
TCGA-BK-A4ZD-01A	2
TCGA-CG-4474-01A	21
TCGA-DK-A3IT-01A	12
TCGA-P3-A6T8-01A	5
TCGA-DD-A11C-01A	17
TCGA-55-8097-11A	8
TCGA-KV-A6GE-01A	15
TCGA-66-2785-01A	4
TCGA-91-8499-11A	8
TCGA-CR-6477-01A	5
TCGA-IS-A3KA-01A	13
TCGA-CZ-4854-11A	8
TCGA-61-1907-01A	3
TCGA-RB-A7B8-01A	11
TCGA-17-Z053-11A	8
TCGA-MQ-A4LP-01A	31
TCGA-W2-A7HC-01A	22
TCGA-V4-A9F3-01A	16
TCGA-FY-A3W9-01A	14
TCGA-02-0329-01A	10
TCGA-X7-A8DI-01A	25
TCGA-3A-A9IN-01A	11
TCGA-D7-A4YY-01A	21
TCGA-EM-A4FV-01A	14
TCGA-ZG-A9LZ-01A	9
TCGA-AJ-A23O-01A	2
TCGA-56-8625-01A	4
TCGA-BH-A0EB-01A	1
TCGA-AA-3517-01A	24
TCGA-XF-AAMT-01A	12
TCGA-Q3-A5QY-01A	11
TCGA-CM-6171-01A	24
TCGA-L5-A88Z-01A	28
TCGA-02-0071-01A	10
TCGA-FV-A4ZQ-01A	17
TCGA-FY-A40M-01A	14
TCGA-43-2576-11A	8
TCGA-S2-AA1A-01A	0
TCGA-PG-A916-01A	2
TCGA-V4-A9EL-01A	16
TCGA-FR-A7U9-06A	18
TCGA-44-6778-11A	8
TCGA-DB-A64L-01A	20
TCGA-09-1665-01B	3
TCGA-LL-A50Y-01A	1
TCGA-CV-7101-11A	8
TCGA-BH-A0GZ-01A	1
TCGA-ES-A2HT-01A	17
TCGA-13-0913-01A	3
TCGA-AA-3980-01A	24
TCGA-BH-A0AZ-01A	1
TCGA-CW-5585-11A	8
TCGA-04-1346-01A	3
TCGA-86-8279-01A	0
TCGA-EJ-5499-01A	9
TCGA-DJ-A3VA-01A	14
TCGA-CV-7099-01A	5
TCGA-BJ-A0Z2-01A	14
TCGA-29-1695-01A	3
TCGA-CN-5370-01A	5
TCGA-VN-A88Q-01A	9
TCGA-DJ-A2Q4-01A	14
TCGA-EJ-7315-01A	9
TCGA-CJ-4904-11A	8
TCGA-JW-A5VL-01A	7
TCGA-CV-A468-01A	5
TCGA-EB-A3XF-01A	18
TCGA-66-2753-01A	4
TCGA-EJ-7330-01A	9
TCGA-91-8496-11A	8
TCGA-G2-A3IE-01A	12
TCGA-91-6849-01A	0
TCGA-AA-3713-11A	8
TCGA-UZ-A9PO-01A	15
TCGA-CZ-5455-01A	6
TCGA-CV-6941-01A	5
TCGA-AA-3710-01A	24
TCGA-IN-8462-11A	8
TCGA-E2-A15A-01A	1
TCGA-CJ-4916-11A	8
TCGA-AB-2822-03D	26
TCGA-AB-2822-03B	26
TCGA-DU-8158-01A	20
TCGA-AB-2822-03A	26
TCGA-CV-7180-01A	5
TCGA-CV-A45V-01A	5
TCGA-AA-3525-11A	8
TCGA-GS-A9TQ-01A	32
TCGA-N6-A4VC-01A	29
TCGA-WB-A81I-01A	22
TCGA-EM-A2P3-01A	14
TCGA-60-2713-11A	8
TCGA-AB-2808-03B	26
TCGA-AX-A06D-01A	2
TCGA-VR-A8EW-01A	28
