Gene_stable_ID	CHR
ENSG00000235094	Y
ENSG00000278854	Y
ENSG00000234888	Y
ENSG00000231375	Y
ENSG00000183385	Y
ENSG00000232910	Y
ENSG00000236379	Y
ENSG00000225809	Y
ENSG00000224169	Y
ENSG00000237902	Y
ENSG00000223362	Y
ENSG00000232419	Y
ENSG00000230854	Y
ENSG00000232620	Y
ENSG00000226906	Y
ENSG00000230025	Y
ENSG00000236786	Y
ENSG00000237546	Y
ENSG00000237467	Y
ENSG00000229551	Y
ENSG00000232924	Y
ENSG00000250204	Y
ENSG00000235004	Y
ENSG00000224075	Y
ENSG00000238235	Y
ENSG00000274445	Y
ENSG00000238074	Y
ENSG00000235649	Y
ENSG00000258567	Y
ENSG00000236424	Y
ENSG00000234179	Y
ENSG00000271309	Y
ENSG00000278585	Y
ENSG00000229553	Y
ENSG00000231423	Y
ENSG00000228240	Y
ENSG00000234652	Y
ENSG00000218410	Y
ENSG00000243643	Y
ENSG00000224989	Y
ENSG00000131548	Y
ENSG00000232029	Y
ENSG00000248792	Y
ENSG00000273858	Y
ENSG00000274196	Y
ENSG00000227830	Y
ENSG00000274899	Y
ENSG00000169763	Y
ENSG00000227635	Y
ENSG00000226529	Y
ENSG00000235412	Y
ENSG00000232064	Y
ENSG00000172283	Y
ENSG00000235175	Y
ENSG00000229643	Y
ENSG00000274837	Y
ENSG00000216777	Y
ENSG00000234414	Y
ENSG00000223641	Y
ENSG00000225685	Y
ENSG00000271123	Y
ENSG00000228465	Y
ENSG00000231026	Y
ENSG00000231141	Y
ENSG00000216824	Y
ENSG00000275352	Y
ENSG00000276829	Y
ENSG00000233843	Y
ENSG00000258992	Y
ENSG00000228850	Y
ENSG00000099715	Y
ENSG00000234850	Y
ENSG00000225609	Y
ENSG00000224873	Y
ENSG00000229234	Y
ENSG00000226941	Y
ENSG00000223698	Y
ENSG00000180910	Y
ENSG00000232585	Y
ENSG00000229343	Y
ENSG00000270570	Y
ENSG00000280969	Y
ENSG00000233619	Y
ENSG00000279274	Y
ENSG00000226042	Y
ENSG00000237563	Y
ENSG00000188399	Y
ENSG00000223517	Y
ENSG00000228207	Y
ENSG00000224917	Y
ENSG00000242854	Y
ENSG00000225117	Y
ENSG00000242875	Y
ENSG00000215560	Y
ENSG00000234399	Y
ENSG00000228411	Y
ENSG00000225876	Y
ENSG00000277146	Y
ENSG00000232695	Y
ENSG00000235059	Y
ENSG00000197092	Y
ENSG00000172288	Y
ENSG00000244395	Y
ENSG00000230727	Y
ENSG00000230977	Y
ENSG00000230814	Y
ENSG00000234081	Y
ENSG00000184991	Y
ENSG00000270535	Y
ENSG00000229238	Y
ENSG00000228257	Y
ENSG00000229725	Y
ENSG00000227439	Y
ENSG00000235583	Y
ENSG00000227629	Y
ENSG00000229236	Y
ENSG00000229518	Y
ENSG00000232730	Y
ENSG00000237917	Y
ENSG00000183795	Y
ENSG00000229308	Y
ENSG00000239533	Y
ENSG00000224060	Y
ENSG00000244000	Y
ENSG00000240566	Y
ENSG00000223637	Y
ENSG00000232764	Y
ENSG00000234830	Y
ENSG00000225624	Y
ENSG00000230066	Y
ENSG00000236131	Y
ENSG00000270073	Y
ENSG00000227949	Y
ENSG00000252900	Y
ENSG00000252468	Y
ENSG00000251766	Y
ENSG00000252689	Y
ENSG00000243980	Y
ENSG00000252315	Y
ENSG00000252012	Y
ENSG00000273966	Y
ENSG00000252173	Y
ENSG00000251705	Y
ENSG00000251917	Y
ENSG00000252289	Y
ENSG00000274234	Y
ENSG00000252323	Y
ENSG00000252426	Y
ENSG00000278242	Y
ENSG00000252625	Y
ENSG00000252948	Y
ENSG00000251796	Y
ENSG00000252681	Y
ENSG00000242153	Y
ENSG00000169953	Y
ENSG00000236429	Y
ENSG00000249501	Y
ENSG00000228193	Y
ENSG00000248573	Y
ENSG00000230904	Y
ENSG00000238135	Y
ENSG00000224151	Y
ENSG00000251970	Y
ENSG00000238088	Y
ENSG00000217179	Y
ENSG00000217896	Y
ENSG00000185275	Y
ENSG00000252766	Y
ENSG00000274282	Y
ENSG00000234529	Y
ENSG00000238191	Y
ENSG00000226353	Y
ENSG00000275578	Y
ENSG00000226449	Y
ENSG00000225896	Y
ENSG00000224166	Y
ENSG00000229129	Y
ENSG00000250868	Y
ENSG00000223555	Y
ENSG00000235521	Y
ENSG00000252513	Y
ENSG00000224964	Y
ENSG00000226011	Y
ENSG00000225740	Y
ENSG00000229138	Y
ENSG00000224485	Y
ENSG00000226116	Y
ENSG00000237558	Y
ENSG00000233378	Y
ENSG00000237616	Y
ENSG00000224033	Y
ENSG00000230412	Y
ENSG00000226611	Y
ENSG00000225895	Y
ENSG00000233120	Y
ENSG00000252166	Y
ENSG00000232744	Y
ENSG00000244646	Y
ENSG00000229465	Y
ENSG00000231311	Y
ENSG00000236599	Y
ENSG00000232899	Y
ENSG00000229302	Y
ENSG00000228945	Y
ENSG00000233522	Y
ENSG00000278391	Y
ENSG00000251953	Y
ENSG00000252667	Y
ENSG00000249726	Y
ENSG00000226362	Y
ENSG00000225716	Y
ENSG00000229406	Y
ENSG00000227494	Y
ENSG00000252209	Y
ENSG00000249634	Y
ENSG00000251510	Y
ENSG00000238067	Y
ENSG00000233546	Y
ENSG00000230377	Y
ENSG00000250951	Y
ENSG00000230458	Y
ENSG00000131007	Y
ENSG00000240438	Y
ENSG00000235479	Y
ENSG00000249606	Y
ENSG00000176728	Y
ENSG00000267793	Y
ENSG00000260197	Y
ENSG00000012817	Y
ENSG00000172468	Y
ENSG00000176679	Y
ENSG00000169800	Y
ENSG00000182415	Y
ENSG00000233126	Y
ENSG00000227251	Y
ENSG00000099725	Y
ENSG00000252633	Y
ENSG00000251996	Y
ENSG00000252155	Y
ENSG00000252472	Y
ENSG00000172352	Y
ENSG00000224953	Y
ENSG00000274365	Y
ENSG00000233634	Y
ENSG00000237701	Y
ENSG00000273906	Y
ENSG00000232976	Y
ENSG00000226270	Y
ENSG00000227837	Y
ENSG00000278602	Y
ENSG00000223978	Y
ENSG00000278197	Y
ENSG00000230819	Y
ENSG00000185894	Y
ENSG00000228296	Y
ENSG00000205916	Y
ENSG00000129873	Y
ENSG00000251841	Y
ENSG00000184895	Y
ENSG00000237659	Y
ENSG00000232195	Y
ENSG00000129824	Y
ENSG00000227289	Y
ENSG00000229163	Y
ENSG00000278847	Y
ENSG00000067646	Y
ENSG00000233070	Y
ENSG00000223600	Y
ENSG00000215414	Y
ENSG00000224035	Y
ENSG00000235462	Y
ENSG00000223915	Y
ENSG00000067048	Y
ENSG00000234059	Y
ENSG00000183878	Y
ENSG00000154620	Y
ENSG00000241859	Y
ENSG00000129864	Y
ENSG00000187191	Y
ENSG00000188120	Y
ENSG00000205936	Y
ENSG00000251925	Y
ENSG00000225189	Y
ENSG00000230073	Y
ENSG00000215540	Y
ENSG00000236647	Y
ENSG00000099721	Y
ENSG00000092377	Y
ENSG00000232583	Y
ENSG00000205944	Y
ENSG00000168757	Y
ENSG00000197038	Y
ENSG00000275310	Y
ENSG00000232808	Y
ENSG00000233803	Y
ENSG00000225560	Y
ENSG00000229549	Y
ENSG00000228383	Y
ENSG00000188656	Y
ENSG00000237802	Y
ENSG00000228927	Y
ENSG00000226555	Y
ENSG00000228787	Y
ENSG00000242389	Y
ENSG00000165246	Y
ENSG00000215580	Y
ENSG00000278212	Y
ENSG00000231535	Y
ENSG00000206159	Y
ENSG00000131002	Y
ENSG00000279195	CHR_HG1342_HG2282_PATCH
ENSG00000202250	CHR_HSCHR1_5_CTG3
ENSG00000281402	CHR_HSCHR2_6_CTG7_2
ENSG00000158270	18
ENSG00000264964	18
ENSG00000265514	18
ENSG00000266441	18
ENSG00000265316	18
ENSG00000267425	18
ENSG00000265188	18
ENSG00000263505	18
ENSG00000265257	18
ENSG00000266767	18
ENSG00000263935	18
ENSG00000279885	18
ENSG00000272703	18
ENSG00000264575	18
ENSG00000264775	18
ENSG00000261627	18
ENSG00000255112	18
ENSG00000266065	18
ENSG00000141401	18
ENSG00000170579	18
ENSG00000267455	18
ENSG00000266153	18
ENSG00000272461	18
ENSG00000168502	18
ENSG00000266613	18
ENSG00000264876	18
ENSG00000267333	18
ENSG00000264880	18
ENSG00000168461	18
ENSG00000267371	18
ENSG00000265939	18
ENSG00000265487	18
ENSG00000132204	18
ENSG00000266495	18
ENSG00000267336	18
ENSG00000263823	18
ENSG00000266102	18
ENSG00000264000	18
ENSG00000279439	18
ENSG00000266127	18
ENSG00000265477	18
ENSG00000264924	18
ENSG00000266105	18
ENSG00000266251	18
ENSG00000265413	18
ENSG00000260302	18
ENSG00000273284	18
ENSG00000266955	18
ENSG00000273119	18
ENSG00000267756	18
ENSG00000267165	18
ENSG00000206432	18
ENSG00000267039	18
ENSG00000260913	18
ENSG00000266450	18
ENSG00000176105	18
ENSG00000274918	18
ENSG00000263847	18
ENSG00000239490	18
ENSG00000266850	18
ENSG00000274400	18
ENSG00000267651	18
ENSG00000166974	18
ENSG00000266809	18
ENSG00000264587	18
ENSG00000266373	18
ENSG00000267252	18
ENSG00000229876	20
ENSG00000260861	20
ENSG00000225479	20
ENSG00000171873	20
ENSG00000101282	20
ENSG00000125903	20
ENSG00000263627	18
ENSG00000231961	20
ENSG00000215368	18
ENSG00000101280	20
ENSG00000128789	18
ENSG00000278678	21
ENSG00000279647	21
ENSG00000280372	21
ENSG00000232528	20
ENSG00000232797	21
ENSG00000179381	21
ENSG00000273692	21
ENSG00000278931	21
ENSG00000089012	20
ENSG00000231201	21
ENSG00000280436	21
ENSG00000279720	21
ENSG00000279477	21
ENSG00000279303	21
ENSG00000280432	21
ENSG00000270139	21
ENSG00000274333	21
ENSG00000276649	20
ENSG00000278381	21
ENSG00000280614	21
ENSG00000232241	20
ENSG00000228809	20
ENSG00000230965	21
ENSG00000280018	21
ENSG00000171984	20
ENSG00000280330	21
ENSG00000278955	21
ENSG00000240770	21
ENSG00000234159	21
ENSG00000229336	21
ENSG00000279062	21
ENSG00000280179	21
ENSG00000224711	20
ENSG00000224141	21
ENSG00000125827	20
ENSG00000233676	21
ENSG00000226580	21
ENSG00000235965	21
ENSG00000227075	21
ENSG00000225735	21
ENSG00000232193	21
ENSG00000226771	21
ENSG00000224860	21
ENSG00000149346	20
ENSG00000198618	21
ENSG00000226818	21
ENSG00000229231	21
ENSG00000264434	18
ENSG00000277117	21
ENSG00000185231	18
ENSG00000266805	18
ENSG00000089199	20
ENSG00000266602	18
ENSG00000233324	20
ENSG00000178591	20
ENSG00000227927	20
ENSG00000215586	20
ENSG00000279687	21
ENSG00000125820	20
ENSG00000279177	21
ENSG00000234340	21
ENSG00000280013	21
ENSG00000231755	21
ENSG00000088812	20
ENSG00000228592	21
ENSG00000266237	18
ENSG00000279074	18
ENSG00000197705	18
ENSG00000237569	21
ENSG00000279064	21
ENSG00000154646	21
ENSG00000243303	18
ENSG00000278052	18
ENSG00000261520	18
ENSG00000267337	18
ENSG00000275592	21
ENSG00000219368	21
ENSG00000280095	21
ENSG00000277991	21
ENSG00000279390	21
ENSG00000225906	21
ENSG00000281903	21
ENSG00000278961	21
ENSG00000228184	21
ENSG00000244278	21
ENSG00000266988	18
ENSG00000280071	21
ENSG00000263862	18
ENSG00000266969	18
ENSG00000264596	18
ENSG00000277534	18
ENSG00000270777	20
ENSG00000265631	18
ENSG00000125845	20
ENSG00000265750	18
ENSG00000266891	18
ENSG00000266578	18
ENSG00000273348	18
ENSG00000265273	18
ENSG00000233625	20
ENSG00000264365	18
ENSG00000266961	18
ENSG00000242058	18
ENSG00000101327	20
ENSG00000260372	18
ENSG00000276077	21
ENSG00000273872	21
ENSG00000279851	21
ENSG00000215326	21
ENSG00000223870	21
ENSG00000233783	21
ENSG00000279895	21
ENSG00000279501	21
ENSG00000228888	20
ENSG00000154639	21
ENSG00000226229	20
ENSG00000273148	20
ENSG00000267150	18
ENSG00000125898	20
ENSG00000178127	18
ENSG00000278719	20
ENSG00000173404	20
ENSG00000237914	20
ENSG00000271397	20
ENSG00000230176	20
ENSG00000185982	20
ENSG00000233402	20
ENSG00000275632	20
ENSG00000228482	20
ENSG00000236387	20
ENSG00000236526	20
ENSG00000277282	21
ENSG00000235036	20
ENSG00000215005	21
ENSG00000228293	20
ENSG00000226043	21
ENSG00000230990	20
ENSG00000275993	21
ENSG00000234573	20
ENSG00000270838	20
ENSG00000088826	20
ENSG00000154889	18
ENSG00000233215	21
ENSG00000231058	21
ENSG00000279186	21
ENSG00000215353	21
ENSG00000227716	21
ENSG00000237444	21
ENSG00000156253	21
ENSG00000186925	21
ENSG00000217026	21
ENSG00000238265	21
ENSG00000229306	21
ENSG00000227874	21
ENSG00000235312	21
ENSG00000224649	21
ENSG00000278181	21
ENSG00000226204	21
ENSG00000280081	21
ENSG00000229289	21
ENSG00000156265	21
ENSG00000149443	20
ENSG00000125788	20
ENSG00000226644	20
ENSG00000132640	20
ENSG00000125816	20
ENSG00000227663	20
ENSG00000213950	20
ENSG00000213384	20
ENSG00000089063	20
ENSG00000184032	21
ENSG00000226935	21
ENSG00000174680	21
ENSG00000232079	21
ENSG00000270533	21
ENSG00000224832	21
ENSG00000279156	21
ENSG00000278106	21
ENSG00000186965	21
ENSG00000228708	21
ENSG00000231136	21
ENSG00000230233	21
ENSG00000273464	21
ENSG00000234439	21
ENSG00000226996	21
ENSG00000231125	21
ENSG00000232118	21
ENSG00000231620	21
ENSG00000269950	21
ENSG00000142207	21
ENSG00000125851	20
ENSG00000226406	21
ENSG00000274559	21
ENSG00000232263	21
ENSG00000279213	21
ENSG00000187026	21
ENSG00000233640	21
ENSG00000279990	21
ENSG00000154721	21
ENSG00000276768	20
ENSG00000225280	20
ENSG00000265752	18
ENSG00000088876	20
ENSG00000234730	21
ENSG00000223822	21
ENSG00000263878	18
ENSG00000280191	21
ENSG00000233480	21
ENSG00000230972	21
ENSG00000236332	21
ENSG00000236400	21
ENSG00000232360	21
ENSG00000260583	21
ENSG00000224018	21
ENSG00000273115	21
ENSG00000156256	21
ENSG00000101489	18
ENSG00000277315	20
ENSG00000235698	20
ENSG00000234241	20
ENSG00000258197	20
ENSG00000125815	20
ENSG00000215589	20
ENSG00000227379	20
ENSG00000101230	20
ENSG00000100997	20
ENSG00000231986	21
ENSG00000225267	21
ENSG00000231236	21
ENSG00000233236	21
ENSG00000280082	21
ENSG00000275464	21
ENSG00000226983	21
ENSG00000232855	21
ENSG00000156282	21
ENSG00000234293	21
ENSG00000166265	21
ENSG00000125848	20
ENSG00000176054	21
ENSG00000232260	21
ENSG00000223563	21
ENSG00000236056	21
ENSG00000170367	20
ENSG00000159147	21
ENSG00000274414	20
ENSG00000234282	20
ENSG00000232271	20
ENSG00000280350	20
ENSG00000230908	20
ENSG00000180424	20
ENSG00000280380	18
ENSG00000266283	18
ENSG00000231824	18
ENSG00000089091	20
ENSG00000132874	18
ENSG00000263551	18
ENSG00000279543	18
ENSG00000266968	18
ENSG00000017797	18
ENSG00000186971	21
ENSG00000243927	21
ENSG00000232512	21
ENSG00000227757	21
ENSG00000222042	21
ENSG00000215369	21
ENSG00000215317	21
ENSG00000259981	21
ENSG00000215533	21
ENSG00000215351	21
ENSG00000273254	21
ENSG00000260389	18
ENSG00000279381	21
ENSG00000235514	21
ENSG00000263970	18
ENSG00000234052	21
ENSG00000167315	18
ENSG00000235208	20
ENSG00000188694	21
ENSG00000089195	20
ENSG00000186930	21
ENSG00000232687	21
ENSG00000244624	21
ENSG00000187005	21
ENSG00000206105	21
ENSG00000159131	21
ENSG00000271426	20
ENSG00000214612	20
ENSG00000277087	20
ENSG00000237256	20
ENSG00000224961	20
ENSG00000274863	20
ENSG00000101463	20
ENSG00000234435	20
ENSG00000243779	18
ENSG00000235544	20
ENSG00000265091	18
ENSG00000101323	20
ENSG00000141380	18
ENSG00000237662	20
ENSG00000261249	20
ENSG00000278816	20
ENSG00000215553	20
ENSG00000277692	20
ENSG00000088930	20
ENSG00000125772	20
ENSG00000223750	20
ENSG00000204684	20
ENSG00000233993	20
ENSG00000278192	20
ENSG00000233492	20
ENSG00000125870	20
ENSG00000230440	20
ENSG00000233048	20
ENSG00000236168	20
ENSG00000131068	20
ENSG00000236811	20
ENSG00000204663	20
ENSG00000278041	20
ENSG00000229766	20
ENSG00000125810	20
ENSG00000237484	21
ENSG00000236121	20
ENSG00000233578	20
ENSG00000101003	20
ENSG00000248476	21
ENSG00000228817	21
ENSG00000077984	20
ENSG00000281181	21
ENSG00000198743	21
ENSG00000219592	21
ENSG00000280243	21
ENSG00000231068	21
ENSG00000159259	21
ENSG00000230725	20
ENSG00000230935	20
ENSG00000236474	20
ENSG00000228476	20
ENSG00000101474	20
ENSG00000277907	18
ENSG00000269365	18
ENSG00000265069	18
ENSG00000266965	18
ENSG00000186481	18
ENSG00000236532	21
ENSG00000125864	20
ENSG00000279167	21
ENSG00000218125	21
ENSG00000233997	21
ENSG00000267156	18
ENSG00000273017	21
ENSG00000215457	18
ENSG00000224541	21
ENSG00000264151	18
ENSG00000278996	21
ENSG00000233206	21
ENSG00000156304	21
ENSG00000278983	18
ENSG00000264745	18
ENSG00000267652	18
ENSG00000279479	18
ENSG00000264080	18
ENSG00000266149	18
ENSG00000264246	18
ENSG00000267627	18
ENSG00000270112	18
ENSG00000101745	18
ENSG00000233896	20
ENSG00000274973	20
ENSG00000088766	20
ENSG00000265994	18
ENSG00000149435	20
ENSG00000265787	18
ENSG00000264012	18
ENSG00000276486	18
ENSG00000267773	18
ENSG00000152242	18
ENSG00000175170	20
ENSG00000266573	18
ENSG00000231565	22
ENSG00000215270	22
ENSG00000198445	22
ENSG00000279442	22
ENSG00000273442	22
ENSG00000253460	22
ENSG00000224524	21
ENSG00000189295	22
ENSG00000233300	21
ENSG00000235609	21
ENSG00000267564	18
ENSG00000267794	18
ENSG00000227342	21
ENSG00000267656	18
ENSG00000220248	22
ENSG00000213885	21
ENSG00000233995	22
ENSG00000224922	21
ENSG00000264449	18
ENSG00000186967	21
ENSG00000240122	22
ENSG00000235969	22
ENSG00000229025	21
ENSG00000088320	20
ENSG00000226444	22
ENSG00000186977	21
ENSG00000275805	18
ENSG00000231355	21
ENSG00000236235	22
ENSG00000279332	18
ENSG00000230481	22
ENSG00000276612	21
ENSG00000154839	18
ENSG00000156261	21
ENSG00000225293	22
ENSG00000249288	22
ENSG00000229658	22
ENSG00000272872	22
ENSG00000181741	20
ENSG00000229027	22
ENSG00000167390	20
ENSG00000271565	20
ENSG00000271127	22
ENSG00000233746	20
ENSG00000170369	20
ENSG00000093072	22
ENSG00000270001	20
ENSG00000228539	20
ENSG00000226344	20
ENSG00000273838	20
ENSG00000224876	20
ENSG00000125868	20
ENSG00000274849	18
ENSG00000264911	18
ENSG00000267713	18
ENSG00000263396	18
ENSG00000239689	18
ENSG00000267444	18
ENSG00000267311	18
ENSG00000265402	18
ENSG00000152223	18
ENSG00000204555	20
ENSG00000132664	20
ENSG00000230772	20
ENSG00000078898	20
ENSG00000125834	20
ENSG00000237358	22
ENSG00000235343	22
ENSG00000154654	21
ENSG00000278558	22
ENSG00000205611	20
ENSG00000267541	18
ENSG00000280096	18
ENSG00000263829	18
ENSG00000243925	18
ENSG00000214185	20
ENSG00000273321	18
ENSG00000125872	20
ENSG00000267324	18
ENSG00000241832	22
ENSG00000226474	22
ENSG00000225831	20
ENSG00000236097	22
ENSG00000267284	18
ENSG00000278383	20
ENSG00000236550	20
ENSG00000259271	22
ENSG00000215397	20
ENSG00000184624	22
ENSG00000226263	20
ENSG00000235992	22
ENSG00000260202	20
ENSG00000234381	22
ENSG00000152234	18
ENSG00000198646	20
ENSG00000226956	21
ENSG00000240432	21
ENSG00000197683	21
ENSG00000229286	22
ENSG00000223875	22
ENSG00000280172	21
ENSG00000237527	21
ENSG00000198390	21
ENSG00000237689	22
ENSG00000237731	21
ENSG00000281383	21
ENSG00000250973	21
ENSG00000236471	21
ENSG00000241973	22
ENSG00000218549	21
ENSG00000198862	21
ENSG00000228961	21
ENSG00000230198	21
ENSG00000273492	21
ENSG00000279690	21
ENSG00000277901	20
ENSG00000276915	20
ENSG00000238129	20
ENSG00000267647	18
ENSG00000142192	21
ENSG00000267511	18
ENSG00000265943	18
ENSG00000228593	20
ENSG00000266818	18
ENSG00000263846	18
ENSG00000088782	20
ENSG00000264825	18
ENSG00000172361	18
ENSG00000178726	20
ENSG00000101350	20
ENSG00000266145	18
ENSG00000277743	18
ENSG00000234265	20
ENSG00000141425	18
ENSG00000278110	22
ENSG00000228234	20
ENSG00000212717	20
ENSG00000254264	22
ENSG00000273362	22
ENSG00000172296	20
ENSG00000267338	22
ENSG00000188280	22
ENSG00000241838	22
ENSG00000278044	22
ENSG00000232775	22
ENSG00000225069	20
ENSG00000183566	20
ENSG00000239435	22
ENSG00000280341	22
ENSG00000253691	22
ENSG00000236666	22
ENSG00000277017	22
ENSG00000234878	20
ENSG00000227693	20
ENSG00000235914	20
ENSG00000277690	22
ENSG00000249263	22
ENSG00000237438	22
ENSG00000125804	20
ENSG00000152214	18
ENSG00000183307	22
ENSG00000234121	22
ENSG00000227367	22
ENSG00000271672	22
ENSG00000236985	20
ENSG00000273643	22
ENSG00000230471	22
ENSG00000198183	20
ENSG00000133475	22
ENSG00000212710	18
ENSG00000264350	18
ENSG00000263924	18
ENSG00000225480	22
ENSG00000267193	18
ENSG00000277870	22
ENSG00000250933	18
ENSG00000265204	18
ENSG00000266984	18
ENSG00000226160	22
ENSG00000177663	22
ENSG00000101624	18
ENSG00000237407	22
ENSG00000226405	20
ENSG00000228122	22
ENSG00000224435	22
ENSG00000131069	20
ENSG00000237835	22
ENSG00000273907	22
ENSG00000273244	22
ENSG00000223553	22
ENSG00000239683	18
ENSG00000187589	18
ENSG00000267187	18
ENSG00000273141	18
ENSG00000132872	18
ENSG00000270226	22
ENSG00000235062	22
ENSG00000100181	22
ENSG00000134489	18
ENSG00000279973	22
ENSG00000273203	22
ENSG00000169662	22
ENSG00000274252	22
ENSG00000250261	22
ENSG00000233866	22
ENSG00000236325	22
ENSG00000070371	22
ENSG00000101773	18
ENSG00000214319	21
ENSG00000235564	21
ENSG00000229962	21
ENSG00000227721	21
ENSG00000184029	21
